date,portfolio_return,wealth_index,cumulative_return,running_max,drawdown
1981-05-18,0.0008539674972247361,1.0008539674972248,0.0008539674972247724,1.0008539674972248,0.0
1981-05-19,0.0009742434655147914,1.0018290429349936,0.001829042934993641,1.0018290429349936,0.0
1981-05-20,0.0008019301671598684,1.00263243986686,0.0026324398668600146,1.00263243986686,0.0
1981-05-21,0.00022529388357792334,1.0028583268230387,0.0028583268230386594,1.0028583268230387,0.0
1981-05-22,0.0008113566815888575,1.0036720026271935,0.0036720026271934714,1.0036720026271935,0.0
1981-05-26,-0.0012879245662231066,1.0023793487985797,0.0023793487985797057,1.0036720026271935,-0.0012879245662229533
1981-05-27,0.0011553254070545238,1.0035374231277534,0.003537423127753403,1.0036720026271935,-0.00013408713114226867
1981-05-28,0.0008142828749375271,1.0043545864657653,0.004354586465765253,1.0043545864657653,0.0
1981-05-29,0.0016981184273661856,1.0060600994966524,0.006060099496652427,1.0060600994966524,0.0
1981-06-01,0.0014712095272780509,1.0075402247000462,0.0075402247000462275,1.0075402247000462,0.0
1981-06-02,0.00018826808955746968,1.0077299123733028,0.007729912373302783,1.0077299123733028,0.0
1981-06-03,-0.0001315450499313061,1.0075973504916624,0.007597350491662436,1.0077299123733028,-0.000131545049931292
1981-06-04,-0.0006370826854859477,1.0069554276657227,0.006955427665722658,1.0077299123733028,-0.0007685439303435349
1981-06-05,-0.0010411286953065585,1.0059070574750852,0.005907057475085242,1.0077299123733028,-0.0018088724725106031
1981-06-08,0.00030068224151673774,1.0062095158638844,0.006209515863884407,1.0077299123733028,-0.0015087341268233967
1981-06-09,0.0013102249672038689,1.0075278766938074,0.007527876693807389,1.0077299123733028,-0.0002004859407414017
1981-06-10,0.0004481921783913742,1.007979442807653,0.007979442807652948,1.007979442807653,0.0
1981-06-11,0.0033251436943423094,1.0113311192959313,0.011331119295931336,1.0113311192959313,0.0
1981-06-12,0.0010422774427796555,1.0123852069087547,0.012385206908754665,1.0123852069087547,0.0
1981-06-15,0.0008757308823912853,1.0132717838993206,0.0132717838993206,1.0132717838993206,0.0
1981-06-16,-0.0023895808839158343,1.0108504890143035,0.010850489014303522,1.0132717838993206,-0.0023895808839158317
1981-06-17,-0.0025092713824148636,1.0083139908103198,0.008313990810319805,1.0132717838993206,-0.004892856159402714
1981-06-18,0.0017059262404753102,1.0100341001058815,0.01003410010588146,1.0132717838993206,-0.003195276770640687
1981-06-19,-0.0025557464184636676,1.0074527090720096,0.007452709072009567,1.0132717838993206,-0.0057428568719418704
1981-06-22,-0.00043769026951960164,1.0070117568242476,0.007011756824247595,1.0132717838993206,-0.00617803354888935
1981-06-23,0.0019548021252811013,1.0089802655466706,0.00898026554667064,1.0132717838993206,-0.004235308256719805
1981-06-24,-0.0028110295552478,1.0061439921995572,0.006143992199557191,1.0132717838993206,-0.0070344322352823285
1981-06-25,-0.0025661989304953566,1.0035620265628504,0.003562026562850429,1.0132717838993206,-0.009582579413298764
1981-06-26,-0.0014563186988235408,1.0021005204181377,0.0021005204181376858,1.0132717838993206,-0.011024942822539852
1981-06-29,-0.0007958078191903192,1.0013030409883743,0.0013030409883743044,1.0132717838993206,-0.011811976906025756
1981-06-30,-0.0011203054614120896,1.0001812757230266,0.00018127572302661932,1.0132717838993206,-0.012919049345199829
1981-07-01,-0.0013488117956642863,0.9988322194205289,-0.0011677805794710894,1.0132717838993206,-0.014250435774718517
1981-07-02,-0.0012300007467788026,0.9976036550447349,-0.002396344955265084,1.0132717838993206,-0.015462908474852433
1981-07-06,-1.3468784204410255e-05,0.9975902185363836,-0.0024097814636163672,1.0132717838993206,-0.015476168992479389
1981-07-07,-0.0016079663744402051,0.9959861270095067,-0.004013872990493272,1.0132717838993206,-0.017059250207574483
1981-07-08,-0.0018743791224231925,0.994119271406817,-0.0058807285931830044,1.0132717838993206,-0.01890165382756437
1981-07-09,-0.0006063918215831182,0.9935164456109578,-0.006483554389042245,1.0132717838993206,-0.019496583840852066
1981-07-10,-0.0009773860765129525,0.9925453964702309,-0.0074546035297691216,1.0132717838993206,-0.020454914227779453
1981-07-13,5.71548699562925e-05,0.992602125273292,-0.007397874726708054,1.0132717838993206,-0.020398928455785725
1981-07-14,0.0005006542917903723,0.9930990757873503,-0.006900924212649651,1.0132717838993206,-0.019908486975074635
1981-07-15,-0.0006878914995714378,0.9924159313748839,-0.007584068625116069,1.0132717838993206,-0.0205826835956866
1981-07-16,-0.00017158039526734824,0.992245652257109,-0.007754347742890966,1.0132717838993206,-0.02075073240596692
1981-07-17,-0.00011321430733751734,0.99213331585288,-0.007866684147119996,1.0132717838993206,-0.02086159743350846
1981-07-20,0.0015539467238402673,0.9936750381686624,-0.006324961831337572,1.0132717838993206,-0.019340068520653952
1981-07-21,0.0009975581298799106,0.9946662867814464,-0.005333713218553582,1.0132717838993206,-0.01836180323335923
1981-07-22,0.00035213425772372516,0.995016542856025,-0.0049834571439749675,1.0132717838993206,-0.018016134795587502
1981-07-23,-0.0008052989483445394,0.9942152570804776,-0.0057847429195223565,1.0132717838993206,-0.018806925369527883
1981-07-24,0.00018239697093298853,0.9943965989318244,-0.005603401068175584,1.0132717838993206,-0.01862795872481493
1981-07-27,-0.0005726887236174213,0.9938271192128126,-0.0061728807871873626,1.0132717838993206,-0.01918997942652667
1981-07-28,0.00011236242109475639,0.9939387880340771,-0.006061211965922908,1.0132717838993206,-0.019079773237980935
1981-07-29,-0.00016510749974633438,0.9937746812858839,-0.006225318714116135,1.0132717838993206,-0.019241730524072298
1981-07-30,-0.00023979959249620318,0.9935363745222785,-0.006463625477721502,1.0132717838993206,-0.01947691595742984
1981-07-31,-0.0005227718630248598,0.9930169816607866,-0.006983018339213443,1.0132717838993206,-0.019989505836813692
1981-08-03,0.0006241763703293917,0.9936367993960751,-0.006363200603924923,1.0132717838993206,-0.019377806443682144
1981-08-04,0.00018072487387932215,0.9938163742813276,-0.00618362571867237,1.0132717838993206,-0.019200583621428513
1981-08-05,-0.0016653627749917594,0.9921613094864222,-0.007838690513577773,1.0132717838993206,-0.020833970459199103
1981-08-06,-0.0003173027020318326,0.9918464940220708,-0.008153505977929187,1.0132717838993206,-0.021144662486110022
1981-08-07,0.0005108175305252316,0.9923531465988074,-0.007646853401192644,1.0132717838993206,-0.020644646019859714
1981-08-10,0.0009859830873853615,0.9933315900180674,-0.006668409981932633,1.0132717838993206,-0.019679018204295073
1981-08-11,-0.0012058727536194823,0.9921337585183551,-0.007866241481644942,1.0132717838993206,-0.020861160566043924
1981-08-12,-0.001032775549719755,0.9911091070305058,-0.00889089296949419,1.0132717838993206,-0.021872391219192266
1981-08-13,0.0006517162419718407,0.9917550289331238,-0.008244971066876161,1.0132717838993206,-0.021234929569828753
1981-08-14,0.0015196100139937543,0.9932621098065193,-0.0067378901934807,1.0132717838993206,-0.019747588367455715
1981-08-17,0.00015132151814789622,0.993412411736894,-0.0065875882631060145,1.0132717838993206,-0.019599255084359335
1981-08-18,1.9674001097574205e-05,0.9934319561337729,-0.0065680438662271134,1.0132717838993206,-0.019579966679027727
1981-08-19,-0.00011998595267228318,0.9933127582541011,-0.006687241745898853,1.0132717838993206,-0.01969760331074466
1981-08-20,0.0014177345370530415,0.9947210120575734,-0.0052789879424266495,1.0132717838993206,-0.018307794746202477
1981-08-21,0.0005637438564781493,0.9952817799170305,-0.004718220082969515,1.0132717838993206,-0.01775437179653827
1981-08-24,-0.00045742882591481415,0.9948265093409886,-0.005173490659011404,1.0132717838993206,-0.01820367926100741
1981-08-25,0.00039824480220605806,0.9952226938274303,-0.004777306172569662,1.0132717838993206,-0.01781268397944813
1981-08-26,0.00012694164966778129,0.9953490290379717,-0.004650970962028267,1.0132717838993206,-0.017688003501269645
1981-08-27,0.0015181914356650842,0.9968601594093547,-0.0031398405906453153,1.0132717838993206,-0.016196665841034186
1981-08-28,-0.0010533252898990368,0.9958101413929561,-0.004189858607043906,1.0132717838993206,-0.01723293077319077
1981-08-31,0.002630113093184458,0.9984292346841597,-0.0015707653158403279,1.0132717838993206,-0.014648142236866724
1981-09-01,0.0005817704245740129,0.999010091283929,-0.000989908716070964,1.0132717838993206,-0.014074893668221011
1981-09-02,-0.0035585439342615305,0.9954550699833244,-0.004544930016675552,1.0132717838993206,-0.017583351474994235
1981-09-03,0.0020649174020534017,0.9975106024802954,-0.0024893975197045615,1.0132717838993206,-0.015554742241387864
1981-09-04,0.001042311056190781,0.9985503188099282,-0.0014496811900718276,1.0132717838993206,-0.01452864406501142
1981-09-08,0.004555360259341307,1.0030990752491875,0.0030990752491875107,1.0132717838993206,-0.01003946701346603
1981-09-09,-0.0013464392587369627,1.0017484632738691,0.0017484632738691275,1.0132717838993206,-0.011372388739679384
1981-09-10,-0.003275394595970417,0.9984673417707403,-0.0015326582292597424,1.0132717838993206,-0.014610534275028564
1981-09-11,-0.008587760818476335,0.9898927430545532,-0.010107256945446785,1.0132717838993206,-0.023072823319720825
1981-09-14,0.0019399043368720607,0.9918130402798429,-0.00818695972015715,1.0132717838993206,-0.02117767805287063
1981-09-15,-0.0010985088523184135,0.9907235248752506,-0.009276475124749384,1.0132717838993206,-0.02225292303837645
1981-09-16,0.0006065688967603644,0.9913244669507288,-0.008675533049271156,1.0132717838993206,-0.021659852072593022
1981-09-17,0.0029368392810518,0.9942358275855375,-0.005764172414462476,1.0132717838993206,-0.01878662429592981
1981-09-18,0.0020833684567347277,0.9963071871472848,-0.003692812852715166,1.0132717838993206,-0.016742395299661705
1981-09-21,-0.0031838076088422426,0.993135136744101,-0.0068648632558989675,1.0132717838993206,-0.01987289834295869
1981-09-22,0.0024846349529167775,0.9956027150178253,-0.004397284982174732,1.0132717838993206,-0.01743764028788053
1981-09-23,0.003676361351862504,0.9992629103611261,-0.0007370896388738668,1.0132717838993206,-0.013825386002840112
